Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Brand Button Url (product.metafields.custom.brand_button_url),Brand Description (product.metafields.custom.brand_description),Brand Heading (product.metafields.custom.brand_heading),How to use (product.metafields.custom.how_to_use),Ingredients (product.metafields.custom.ingredients),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age restrictions (product.metafields.shopify.age-restrictions),Event type (product.metafields.shopify.event-type),Hair care finish (product.metafields.shopify.hair-care-finish),Hair care items included (product.metafields.shopify.hair-care-items-included),Hair type (product.metafields.shopify.hair-type),Hold level (product.metafields.shopify.hold-level),Product form (product.metafields.shopify.product-form),Target gender (product.metafields.shopify.target-gender),Ticket type (product.metafields.shopify.ticket-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
camille-rose-honey-spiked-mousse-4-in-1-styler,Camille Rose Spiked Honey Mousse 4 in 1 Styler,"<p><span>A lightweight setting mousse infused with HONEY and NETTLE, crafted to smooth strands, boost shine, and set styles.</span></p>",Camille Rose,Uncategorized,Styler,"Bestsellers, Camille Rose, CG Approved, Colour Safe, Coloured Hair, Curl Defining, Curl defining mousse, Curly Hair, Honey, Kid Safe, Moisture-Protein Balanced, Mousse, Natural, Natural Hair, Protein Free, Styler, Styling Mousse, Sulfate - Free",true,Size,8 Fl oz,,,,,,,,CAM-HSMS-237,440.0,shopify,deny,manual,75.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0504/5187/3989/files/CamilleRoseSpikedHoneyMousse4in1Styler_1.png?v=1697096574,1,Camille Rose Honey Spiked Mousse 4 in 1 Styler,false,,"A lightweight setting mousse infused with HONEY and NETTLE, crafted to smooth strands, boost shine, and set your style with soft, touchable hold which gives structure without stiffness.",,,,,,,,,,,,,"Camille Rose Naturals is a trusted source for premium hair and beauty products formulated with gourmet ingredients to provide true nourishment to your strands.<br>
<br> Each product is developed with integrity and hand crafted with love. Perfect for all hair types and textures. <br>",Camille Rose,"Apply a generous amount onto freshly washed and conditioned strands. <br>
Style hair. Can be used on wash-and go’s, braid outs, twist outs, rodsets and many more protective styles! <br>
Allow to fully dry before fluffing.","Water (Aqua, Eau), Oryza Sativa (Rice Water) Extract, Honey (Mel) Wildflower &amp; Clover, Urtica Dioica Extract (Nettle), Cocamidopropyl Betaine (Coconut Derived), Polyquaternium-55, Polysorbate-20, PVP, Methyl Gluceth-20 (Emollient), Oleth-20 (Vegetable alcohol), Aloe Barbadensis (Aloe Vera) Leaf Juice, Panthenol, Phenoxyethanol (Optiphen ND), Benzoic Acid, Ethylhexylglycerin, Glycereth-2 Cocoate, Quaternium-75, Tocopheryl Acetate (Vitamin E), Silk Amino Acids, Phthalate Free Fragrance, Citric Acid And Love!",,,,,,,,,,,,camille-rose-curl-love-moisture-milk; camille-rose-curl-maker,"",only manual,,,kg,,47.35,active
camille-rose-honey-spiked-mousse-4-in-1-styler,,,,,,,,,3.4 Fl oz,,,,,,,,CAM-HSMS-100,240.0,shopify,deny,manual,35.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,17.62,
innersense-pure-travel-trio,Innersense Pure Travel Trio,"<p>The Pure Trio Collection is 100% color safe and perfect for fine to medium hair types.</p>
<p><strong>Includes:</strong> 1x Pure Harmony Hairbath, 1x Pure Inspiration Daily Conditioner and 1x Sweet Spirit Leave In Conditioner (all 2 oz sizes).<br></p>
<p><br></p>",Innersense Beauty,Uncategorized,Moisturizers & Leave - Ins,"Best Seller, Bundle, Bundle Set, CG Approved, Colour Safe, Colour Treated Hair, Conditioner, Fine Hair, Fine haircare, Innersense, Innersense Bundle, Innersense Pure Travel Trio, Leave In Conditioner, Moisture Protein Balanced, Organic Hair Care, Shampoo, Vegan Hair Care",true,Size,2 oz,,,,,,,,INN-PUTT-59,1200.0,shopify,deny,manual,115.00,,true,true,,,,,'852415001956,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/InnersensePureTravelTrio.png?v=1696404969,1,Innersense Pure Travel Trio,false,,,,,,,,,,,,,,,"Innersense Organic Beauty is a love story between two seasoned beauty professionals who share a passion for health, hair, beauty and the planet. <br>
Founded 2005 to meet the need for clean, pure, organic and non-toxic professional quality hair care products. In doing so, sourcing the highest quality and Certified Organic ingredients, in the purest, most concentrated form has been at the forefront of each product. Innersense have create a complete, award-winning line of safe, sustainable and cruelty free haircare products.",Innersense,Please see individual product listings for directions,Please see individual product listings for full ingredient list,,,,,,,,,,,,,,,,,kg,,49.55,active
innersense-colour-travel-trio,Innersense Color Travel Trio,"<p>The Color Trio Collection is 100% color safe. Keeps color vibrant, healthy and hydrated. Best for chemically processed hair, works well with all hair types.<br>
<strong>Includes:</strong> 1x Color Awakening Hairbath, 1x Color Radiance Daily Conditioner and 1x Sweet Spirit Leave In Conditioner (all 2 oz sizes).<br>
</p>",Innersense Beauty,Uncategorized,Moisturizers & Leave - Ins,"Best Seller, Bundle, Bundle Set, CG Approved, Colour Safe, Colour Treated Hair, Conditioner, Innersense, Innersense Bundle, Innersense Colour Travel Trio, Leave In Conditioner, Moisture Protein Balanced, Organic Hair Care, Shampoo, Vegan Hair Care",true,Size,2 oz,,,,,,,,INN-COTT-59,440.0,shopify,deny,manual,115.00,,true,true,,,,,'852415001963,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/InnersenseColourTravelTrio.png?v=1696404124,1,Innersense Color Travel Trio,false,,,,,,,,,,,,,,,"Innersense Organic Beauty is a love story between two seasoned beauty professionals who share a passion for health, hair, beauty and the planet. <br>
Founded 2005 to meet the need for clean, pure, organic and non-toxic professional quality hair care products. In doing so, sourcing the highest quality and Certified Organic ingredients, in the purest, most concentrated form has been at the forefront of each product.
Innersense have create a complete, award-winning line of safe, sustainable and cruelty free haircare products.",Innersense,Please see individual product listings for directions,Please see individual product listings for full ingredient list.,,,,,,,,,,,,,,,,,kg,,49.55,active
hair-growth-length-retention-fine-normal-texture,Hair Growth & Length Retention ( Fine - Normal Texture),"<p data-mce-fragment=""1"">Hair growth is two fold - emergence from the scalp and length retention.</p>
<p data-mce-fragment=""1"">We have specially curated this bundle to help you achieve<span data-mce-fragment=""1""> </span><strong data-mce-fragment=""1"">REAL</strong><span data-mce-fragment=""1""> </span>results with products that contain active, potent ingredients to deliver the results to desire.</p>
<p data-mce-fragment=""1"">Within 4-6 weeks you will begin to see a reduction in hair fall, strengthened hair strands, improved rate of hair growth. Over the medium term you may see thicker density in your hair strands.</p>
<p data-mce-fragment=""1"">This bundle is suitable for fine - normal hair textures.</p>
<p data-mce-fragment=""1"">This bundle includes:</p>
<p data-mce-fragment=""1"">1 x Mielle Rosemary Mint Strengthening Shampoo</p>
<p data-mce-fragment=""1"">1 x Camille Rose Rosemary 5 minute Strengthening Mask</p>
<p data-mce-fragment=""1"">1 x Curls &amp; Potions Chebe &amp; Rice Water Growth Stimulating Treatment</p>
<p data-mce-fragment=""1"">1 x Mielle Rosemary Mint Hair &amp; Scalp Oil - Light</p>",Emerson Hair & Beauty,,Oils & Refreshers,"Best seller, Bundle, Bundle Set, CG Approved, Hair Growth, Hair Growth & Length Retention, Hair Growth Oil, Hair Loss, Hair Shedding, Mielle Hair Oil, Quick Hair Growth",true,Title,Default Title,,,,,,,,"",800.0,shopify,deny,manual,285.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/IMG-8472.png?v=1695286478,1,"",false,,,,,,,,,,,,,,,"<p data-mce-fragment=""1"">Emerson bundles have been specially curated through intensive research and testing to help you achieve<span data-mce-fragment=""1"">&nbsp;</span><strong data-mce-fragment=""1"">REAL</strong><span data-mce-fragment=""1"">&nbsp;</span>results with products that contain active, potent ingredients to deliver the results to desire.</p>
<p data-mce-fragment=""1"">&nbsp;</p>",Emerson Bundles,Please see individual product listings for directions.,Please see individual product listings for full ingredients list.,,,,,,,,,,,,,,,,,kg,,,active
mielle-rosemary-mint-strengthening-scalp-hair-oil-light,Mielle Rosemary Mint Strengthening Scalp & Hair Oil - Light,"<p>Achieve longer, stronger, healthier hair with this organic hair oil from Mielle.</p><br>
<p>The lighter version of this oil contains all the goodness of the original oil including:</p>
<br>
<p>• More than 30 essential oils and nutrients<br>• Infused with Biotin<br>• Use for daily hair care or specialized scalp treatments</p><br>
<p>This lighter version was formulated with fine hair textures and low porosity hair in mind. Enjoy all the growth and strengthening benefits without the added weight.</p>
<br>
<p>Mielle Rosemary Mint organic hair oil is a nutrient-rich, intensive formula meant to help you address all of your hair concerns. From supporting length retention and nourishing hair follicles to smoothing split ends and preventing dry scalp, this organic hair oil uses natural ingredients and essential oils to provide the care your hair deserves.</p>
<p><br></p>",Mielle Organics,Uncategorized,Oil,"bestseller, Bestsellers, Biotin, BS2022, CG Approved, Curly Hair, Dry & Itchy Scalp Care, Hair Growth, Hair Growth & Length Retention, Hair Growth Oil, Hair Repair, Hair Strengthening, Hot Oil Treatment, Mielle, Natural Hair, New Arrivals, oil, Quick Hair Growth, Rapid Hair Growth, Scalp Massage, Scalp Oil, Sealant, Split End, Strengthening Treatment",true,Size,2 fl oz,,,,,,,,MIE-MSSOL-59,320.0,shopify,deny,manual,60.00,,true,true,,,,,'854102006732,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/IMG-8471.png?v=1695278395,1,Mielle Rosemary Mint Strengthening Scalp & Hair Oil - Light,false,,"Mielle Rosemary Mint Strengthening Scalp & Hair Oil - Light. A light strengthening hair oil to aid length retention & prevent dry, itchy scalp - fine & Low porosity hair",,,,,,,,,,,,,"Mielle Organics a natural haircare brand that delivers on its promises of healthier, stronger and more hydrated hair through use of organic ingredients, products have been uniquely formulated to deliver hydration, moisture and definition.<br>
",Mielle,"Use it on protective styles, including braids and weaves, and enjoy its fresh, invigorating scent during your next hot oil treatment. This formula is made to be versatile!<br><br><strong>Scalp Treatment<br></strong>Section hair into 4 parts exposing scalp. Apply a small amount of oil to scalp, massage oil in with fingers and comb through to ends of hair. Leave in and style as desired.<br><br>
<strong>Daily Use<br></strong>Apply a small amount to scalp and comb through to ends.<br><br>
<strong>Split End Care<br></strong>Apply oil to ends of hair, place a processing cap on head and leave on for 10 minutes. Rinse and proceed with shampooing.","Glycine Soja (Soybean) Oil, Ricinus Communis (Castor) Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Mentha Piperita (Peppermint) Oil, Eucalyptus Globolus (Eucalyptus) Leaf Oil, Menthol, Melalueca Alternifolia (Tea Tree) Leaf Oil, Cocos Nucifera (Coconut) Oil, Equisetum Arvense (Horsetail) Extract, Aloe Barbadensis Extract, Lavandula Angustifolia (Lavender) Oil, Triticum Vulgare (Wheat) Germ Oil, Carthamus Tinctorius (Safflower) Seed Oil, Oenothera Biennis (Evening Primrose) Oil, Vitis Vinifera (Grape) Seed Oil, Benzyl Nicotinate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Oryza Sativa (Rice) Bran Oil, Tocopheryl Acetate, Biotin, Arctium Lappa (Burdock) Root Extract, Glycerin, Apium Graveolens (Celery) Seed Extract, Retinyl Palmitate, Cholecalciferol (Vitamin D), Ascorbic Acid, Ocimum, Basilicum (Basil) Oil, Pogostemon Cablin (Patchouli) Oil, Salvia Officinalis (Sage) Oil, Silica, Urtica Dioica (Nettle) Extract",,,,,,,,,,,,mielle-mongongo-oil-protein-free-hydrating-conditioner; mielle-babassu-curly-cocktail-curl-cream; mielle-mongongo-oil-thermal-heat-protectant-spray,"",only manual,,,kg,,29.33,active
hair-growth-length-retention-normal-thick-textures,Hair Growth & Length Retention ( Normal - Thick Textures),"<p data-mce-fragment=""1"">Hair growth is two fold - emergence from the scalp and length retention.</p>
<p data-mce-fragment=""1"">We have specially curated this bundle to help you achieve <strong>REAL</strong> results with products that contain active, potent ingredients to deliver the results you desire.</p>
<p data-mce-fragment=""1"">Within 4-6 weeks you will begin to see a reduction in hair fall, strengthened hair strands, improved rate of hair growth. Over the medium term you may see increased density in your hair strands.</p>
<p data-mce-fragment=""1"">This bundle is suitable for normal to thick hair textures.</p>
<p data-mce-fragment=""1"">This bundle includes:</p>
<p data-mce-fragment=""1"">1 x Curls &amp; Potions Growth &amp; Restore Shampoo</p>
<p data-mce-fragment=""1"">1 x Soultanicals Glide &amp; Go Ayuverdic Fenugreek Mask Treatment</p>
<p data-mce-fragment=""1"">1 x Curls &amp; Potions Chebe &amp; Rice Water Growth Stimulating Treatment</p>
<p data-mce-fragment=""1"">1 x Curls &amp; Potions Chebula &amp; Green Tea Herbal Mint Hair &amp; Scalp Oil </p>",Emerson Hair & Beauty,,Oils & Refreshers,"Ayurvedic, Ayurverdic, bundle, CG Approved, Hair fall, Hair Growth, Hair Growth & Length Retention, Hair Growth Oil, Hair Loss, Hair Shedding, Mielle growth oil, Mielle Oil, Mielle Rosemary Oil, Quick Hair Growth, Rapid Hair Growth, Transitioning Hair",true,Title,Default Title,,,,,,,,"",800.0,shopify,deny,manual,305.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/IMG-8473.png?v=1695283551,1,"",false,,,,,,,,,,,,,,,"<p data-mce-fragment=""1"">Emerson bundles have been specially curated through intensive research and testing to help you achieve<span data-mce-fragment=""1"">&nbsp;</span><strong data-mce-fragment=""1"">REAL</strong><span data-mce-fragment=""1"">&nbsp;</span>results with products that contain active, potent ingredients to deliver the results to desire.</p>
<p data-mce-fragment=""1"">&nbsp;</p>",Emerson Bundles,Please see individual product listings for directions.,Please see individual product listings for full ingredients list.,,,,,,,,,,,,,,,,,kg,,,active
curls-potions-chebula-green-tea-herbal-mint-hair-scalp-oil,Curls & Potions Chebula & Green Tea Herbal Mint Hair & Scalp Oil,"<meta charset=""UTF-8"">
<p class=""p1"">This Chebula &amp; Green tea herbal mint hair &amp; scalp oil is the solution to hair loss, shedding, encouraging growth, &amp; seals split ends.</p><br>
<p class=""p2"">Green tea is packed with properties that helps to reduce hair loss, stimulates hair growth, &amp; keeps your scalp clean. Green tea contains catachins which help to block dht (hormone responsible for hair loss).</p><br>
<p class=""p2"">Rosemary protects against hair loss, stimulates growth, thickens hair.</p><br>
<p class=""p2"">Fennugreek is high in protein and nicotinic acid content which is known to help combat dandruff and hair loss. It also aids in moisturizing the hair and restores sheen to strands.</p>",Curls & Potions,Uncategorized,Treatment,"Amla Oil, Ayurverdic, Ayuverda, Best seller, CG Approved, Chebula, Chemically Treated Hair, Curls & Potions, Curls and Potions, Curly Hair, Dry & Itchy Scalp Care, Fenugreek, Green Tea, Growth oil, Hair fall, Hair Growth, Hair Growth & Length Retention, Hair Growth System, Hair Loss Solution, Natural Hair, Rosemary Oil, Sulfate - Free, Transitioning Hair",true,Size,2 fl oz,,,,,,,,CUP-GTSO-59,440.0,shopify,deny,manual,70.00,,true,true,,,,,'708210353564,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/41D8EFB0-A116-48EA-8759-FD454D216B76.png?v=1720109419,1,Curls & Potions Chebula & Green Tea Herbal Mint Hair & Scalp Oil,false,,"Discover the Chebula & Green tea herbal mint hair & scalp oil is the solution; This oil has DHT blockers, protects against hair loss & thickens hair & restores sheen",,,,,,,,,,,,,"<p data-mce-fragment=""1"">Curls and Potions was founded with a pinch of a rebellious fighting spirit and a pinch of wanting to change one curl at a time. With one fighting Breast Cancer and one wanting to make the most of the curls and coils, the idea was born to focus on ways to blend healthy hair with overall wellness.&nbsp;</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><em data-mce-fragment=""1"">Every idea begins with a problem and ours was simple: healthy hair, healthy living, and an amazing wash-n-go.</em><span data-mce-fragment=""1"">&nbsp;</span></strong>The idea of having one without the other just didn’t make sense.&nbsp; We focused on changing the way we think about overall health and hair, they go hand in hand. &nbsp;So how did we fix that?<span data-mce-fragment=""1"">&nbsp;</span><em data-mce-fragment=""1""><strong data-mce-fragment=""1"">We took ingredients that help with overall wellness sprinkled with a little bit of old traditional hair recipes and created the new blends that Curls &amp; Potions® needed to help change the way we look at hair and health.&nbsp;</strong></em><span data-mce-fragment=""1"">&nbsp;</span>Healthy Hair + Healthy Lifestyle = Good Hair.</p>",Curls & Potions,"Part hair in sections and apply to scalp. Massage in. <br>
Can be used daily as needed.<br>
Apply a few drops to the ends of hair to seal in moisture. <br>","Rice Bran Oil, Argan Oil, Avocado Oil, Green Tea Extract, Red Raspberry Seed Oil, Jamaican Black Castor Oil, Black Cumin Seed Oil, Safflower Oil, Grapeseed Oil, Sweet Almond Oil, Chebula Extract, Jojoba Oil, Rosemary Oil, Peppermint Oil, Eucalyptus Oil, Tea Tree Oil, Fractionated Coconut Oil, Horsetail Extract, Patchouli Oil, Lavender Oil, Fenugreek, Henna, Burdock Root Extract, Celery Seed Extract, Basil Extract, Nettle Extract, Aloe, Cayenne Extract, Glycerin.",,,,,,,,,,,,,,,,,kg,,34.83,active
curls-potions-chebula-green-tea-herbal-mint-hair-scalp-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/IMG-8482.png?v=1720109419,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camille-rose-hair-strengthening-bundle,Camille Rose Hair Strengthening Bundle,"<p class=""Polaris-Header-Title_2qj8j"">Bundle includes: </p>
<p class=""Polaris-Header-Title_2qj8j"">1 x  Camille Rose Rosemary Oil Strengthening Hair &amp; Scalp Drops</p>
<p>1 x  Camille Rose Rosemary Oil 5 Minute Strengthening Hair Mask</p>
<p>1 x Camille Rose Rosemary Oil Strengthening Leave-In Conditioner</p>
<h4 class=""Polaris-Header-Title_2qj8j""></h4>
<h4 class=""Polaris-Header-Title_2qj8j""></h4>
<h4 class=""Polaris-Header-Title_2qj8j"">Camille Rose Rosemary Oil Strengthening Hair &amp; Scalp Drops<br>
</h4>
<p> An intensely nourishing, multi use oil enriched with pure rosemary to promote healthy hair growth, stronger strands, and visibly revitalized, shiny curls.</p>
<p><span>Made with a blend of pure rosemary oil, a hint of peppermint, amla, apigenin, shikakai, and biotin, our vegan hair treats harness the power of beauty’s favourite ingredients to boost maximum hair strength in all textures. </span></p>
<p><span>The result is a nourished scalp and unstoppable strands that need no introduction.</span></p>
<h4 class=""Polaris-Header-Title_2qj8j"">Camille Rose Rosemary Oil 5 Minute Strengthening Hair Mask</h4>
<h4 class=""Polaris-Header-Title_2qj8j"">Camille Rose Rosemary Oil Strengthening Leave-In Conditioner</h4>
<p><span>Made with a blend of pure rosemary oil, a hint of peppermint, amla, apigenin, shikakai, and biotin, our vegan hair treats harness the power of beauty’s favourite ingredients to boost maximum hair strength in all textures.</span></p>
<p><span>T</span>he result is a nourished scalp and unstoppable strands that need no introduction!</p>",Emerson Hair & Beauty,Health & Beauty > Personal Care > Hair Care > Shampoo & Conditioner > Conditioners,"","Bundle, Bundle Set, Camille Rose, Camille Rose Bundle, Hair Growth, Hair Growth & Length Retention",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,210.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/CamilleRoseHairstrengtheningbundle.png?v=1693730636,1,"",false,,,,,,,,,,,,,,,"Camille Rose Naturals is a trusted source for premium hair and beauty products formulated with gourmet ingredients to provide true nourishment to your strands.<br>
<br> Each product is developed with integrity and hand crafted with love. Perfect for all hair types and textures. <br>",Camille Rose,See individual product listings for directions.,See individual product listings for full ingredient list.,,,,,,,,,,,,,,,,,kg,,,active
camille-rose-hair-strengthening-bundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/CamilleRoseStrengtheningLeave-InConditioner_2b198bcd-7482-44b1-a673-fb78e31edcb1.png?v=1693730636,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camille-rose-hair-strengthening-bundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/CamilleRose5MinuteStrengtheningHairMask_cc3fc3f6-fc4f-4faf-b8e5-6f3308c2e6fb.png?v=1693730636,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camille-rose-hair-strengthening-bundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/CamilleRoseStrengtheningHair_ScalpDrops_def20b35-9a22-4c2c-a79b-f6cb53e36ace.png?v=1693730636,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curls-potions-chebe-scalp-length-retention-shampoo,Curls & Potions Chebe Scalp & Length Retention Shampoo,"Chebe Scalp Length Retention Shampoo is a gentle cleansing shampoo that is packed with nutrients that help to cleanse hair &amp; scalp while also aiding in length retention.<br> Alleviates dry scalp, cleanses without stripping. This utilizes the benefits of Chebe Powder that originated in Chad, Africa.",Curls & Potions,Uncategorized,Shampoo & Cleanser,"Amla Oil, Ayurverda, Ayurverdic, Ayuverda, Breakage, CG Approved, Chebe, Curls & Potions, Curly Hair, Damaged Hair, Fenugreek, Hair Growth, Hair Growth & Length Retention, Hair Loss, Hair Loss System, Kinky Hair, Strengthening Shampoo, Sulfate Free, Transitioning Hair",true,Size,8 fl oz,,,,,,,,CUP-SLRS-237,440.0,shopify,deny,manual,85.00,,true,true,,,,,'786368807528,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/Curls_PotionsChebeScalp_LengthRetentionShampoo.png?v=1693483230,1,Curls & Potions Chebe Scalp & Length Retention Shampoo,false,,Curls & Potions Chebe Scalp & Length Retention Shampoo is a gentle cleanser that cleanses hair & scalp without stripping while aiding length retention.,,,,,,,,,,,,,"<p data-mce-fragment=""1"">Curls and Potions was founded with a pinch of a rebellious fighting spirit and a pinch of wanting to change one curl at a time. With one fighting Breast Cancer and one wanting to make the most of the curls and coils, the idea was born to focus on ways to blend healthy hair with overall wellness.&nbsp;</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><em data-mce-fragment=""1"">Every idea begins with a problem and ours was simple: healthy hair, healthy living, and an amazing wash-n-go.</em><span data-mce-fragment=""1"">&nbsp;</span></strong>The idea of having one without the other just didn’t make sense.&nbsp; We focused on changing the way we think about overall health and hair, they go hand in hand. &nbsp;So how did we fix that?<span data-mce-fragment=""1"">&nbsp;</span><em data-mce-fragment=""1""><strong data-mce-fragment=""1"">We took ingredients that help with overall wellness sprinkled with a little bit of old traditional hair recipes and created the new blends that Curls &amp; Potions® needed to help change the way we look at hair and health.&nbsp;</strong></em><span data-mce-fragment=""1"">&nbsp;</span>Healthy Hair + Healthy Lifestyle = Good Hair.</p>",Curls & Potions,Shake well. Massage a generous amount to scalp and wet hair. <br> Distribute through hair.<br> Rinse and follow up with Curls & Potions Deep Moisture Potion Conditioner.,"Fermented Rice Water infused with Ambunu, Chebe Powder, Flaxseed, Marshmallow Root, Nettle Leaf, Shikakai, Aritha, Amla, Fennugreek, Cocamidopropyl, Betaine, Decyl Glucoside, Cassia Hydroxypropyltrimonium, Aloe Vera Juice, Hemisqualane, Brahmi Powder, Organic Honey, Jamaican Black Castor Oil, Polyquaterium-7, DL Panthenol (Pro-Vitamin B5), Phenoxyethanol, Benzoic Acid, Dehydroacetic Acid, Citric Acid, Essential Oil Blend.",,,,,,,,,,,,,,,,,kg,,31.16,active
camille-rose-rosemary-oil-strengthening-hair-scalp-drops,Camille Rose Rosemary Oil Strengthening Hair & Scalp Drops,"<p><span>An intensely nourishing, multi use oil enriched with pure rosemary to promote healthy hair growth, stronger strands, and visibly revitalized, shiny curls.</span></p>
<p><span>Made with a blend of pure rosemary oil, a hint of peppermint, amla, apigenin, shikakai, and biotin, our vegan hair treats harness the power of beauty’s favourite ingredients to boost maximum hair strength in all textures. </span></p><br>
<p><span>The result is a nourished scalp and unstoppable strands that need no introduction.</span></p>",Camille Rose,Health & Beauty > Personal Care > Hair Care,Oils & Refreshers,"Ayurverdic, Best seller, bestseller, BS2022, Camille Rose, Camille Rose Rosemary Oil, CG Approved, Colour Safe, Coloured Hair, Curly Hair, Hair Growth, Hair Growth & Length Retention, Hair Growth Oil, High Porosity Essentials, Natural, Natural Hair, Oil, Oil treatment, Protein Free, Rapid Hair Growth, Rosemary, Rosemary Oil",true,Size,1.9 fl oz,,,,,,,,CAM-SHSD-56,320.0,shopify,deny,manual,65.00,,true,true,,,,,'860006856595,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/CamilleRoseStrengtheningHair_ScalpDrops.png?v=1692870262,1,Camille Rose Rosemary Oil Strengthening Hair & Scalp Drops,false,,An intensely nourishing spray crafted with a fortified blend of rosemary oil. This formula delivers a maximum strength and shine across all hair texture weather used as a treatment for scalp or sealing oil.,,,,,,,,,,,,,"Camille Rose Naturals is a trusted source for premium hair and beauty products formulated with gourmet ingredients to provide true nourishment to your strands.<br>
<br> Each product is developed with integrity and hand crafted with love. Perfect for all hair types and textures. <br>",Camille Rose,"Apply to wet or dry hair. <br>Use 2-3 drops and massage into scalp, edges, or delicate ends.<br> Apply daily or as needed for nourishment. <br> Follow up with your favourite Camille Rose Rosemary Collection conditioning and styling products.","Ricinus Communis (Castor) Seed Oil, Olea Europaea (Olive) Fruit Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Menthol, Rosmarinus Officinalis (Rosemary) Flower/Leaf/Stem Extract, Ethylhexyl Palmitate, Oenothera Biennis (Evening Primrose) Root Extract, Abronia Villosa (Sand Verbena) Leaf Extract, Agave Americana (Agave) Stem Extract, Yucca Brevifolia (Joshua Tree) Root Extract, Opuntia Coccinellifera (Cholla Cactus) Flower Extract, Fouquieria Splendens (Ocotillo) Stem Extract, Larrea Tridentata (Creosote Bush) Extract, Lavandula Angustifolia (Lavender) Lavender oil, Pogostemon Cablin (Patchouli) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Rosa Canina (Rosehip) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Acacia Concinna (Shikakai) Fruit Extract, Emblica Officinalis (Amla) Fruit Extract, Mentha Piperita (Peppermint) Oil",,,,,,,,,,,,,,,,,kg,,31.75,active
